"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"botenhelling","botenhelling","Voorziening om boten uit of in het water te helpen.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"dukdalf","dukdalf","In het water geplaatste, zware al dan niet metalen paal of constructie, dienend tot bescherming van bruggen en sluizen.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"hoogspanningsmast","hoogspanningsmast","Metalen mast of stellage ter ondersteuning van geleidedraden voor het transport van elektriciteit met een hoog voltage.","BGT","-","-","ja","nee","nee","01-01-2026","-"
"paalwerk","paalwerk","Palissade, omheining van in de grond geslagen palen of staken ten behoeve van landaanwinning. Een enkele of dubbele rij palen met de functie het ontzanden van stranden tegen te gaan.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"sluisdeur","sluisdeur","Een kunstmatige, beweegbare waterkering die de verbinding tussen twee wateren kan afsluiten of openstellen en daartoe van deuren of schuiven is voorzien.","BGT","-","-","ja","ja","nee","01-01-2026","-"
"steiger","steiger","Vaste (niet drijvende) waterbouwkundige constructie voor het aanleggen van schepen en bedoeld om deze schepen vanaf de wal te laden en te lossen.","BGT","-","-","nee","ja","ja","01-01-2026","-"
"stormvloedkering","stormvloedkering","Waterkering, bedoeld om bij extreem hoge waterstanden water af te sluiten ter bescherming van het achter de kering gelegen land.","BRT","-","-","nee","ja","nee","01-01-2026","-"
"strekdam","strekdam","Constructie in het water ter verdediging van de kust/oever.","BGT","-","-","nee","ja","nee","01-01-2026","-"
"stuw","stuw","Een constructie met een vaste drempel of een beweegbare klep, die dient om de waterstand boven- en benedenstrooms te regelen.","BGT","-","-","ja","ja","nee","01-01-2026","-"
"ongeclassificeerd","ongeclassificeerd","Het typeKunstwerk is anders dan de beschikbare attribuutwaarden.","BRT","-","-","ja","ja","ja","01-01-2026","-"
